-0.1111594 1.136379 2.951418 3.852752
4.270196 4.5945 6.340508 8.025657 9.17556
9.715449 9.249161 8.657176 9.996279 10.62187
10.63711 11.70016 12.41467 11.47282 9.39811
7.611676 6.193888 5.550456 5.265842 5.148354
5.591978 6.674617 9.105386 10.68306 10.56675
11.14424 13.42646 15.23496 15.38884 12.80085
11.80598 11.36701 10.34561 12.6896 15.54491
16.90944 13.97764 10.55696 9.920287 11.47149
14.09822 17.67042 20.74114 21.20995 20.8007
19.99955 18.94508 15.54086 12.21466 11.411
14.51884 18.21842 20.61433 19.95496 18.32622
15.11181 13.51843 14.38837 16.15351 18.00791
19.10597 19.9275 21.9603 24.49142 25.78569
24.57053 23.2478 22.2647 23.53476 23.56228
22.53628 22.02111 21.91873 21.47802 20.82785
21.09259 22.55111 24.39162 27.59231 30.72617
32.23401 31.36436 32.7469 35.10343 35.84871
35.52769 34.54174 33.54019 32.19827 31.60816
32.06718 31.69781 27.90272 24.41694 23.20681
24.45485
