0.9077179 3.908113 8.483742 13.5317
18.83829 24.37045 31.02387 36.21516 39.66091
42.64696 45.12753 47.71453 50.71843 55.15855
59.1738 62.18035 65.21634 67.80684 70.33685
73.24936 73.3525 70.97086 67.84122 65.76022
64.30076 63.04995 64.42049 65.63431 65.70249
66.06822 66.81196 68.22807 69.7684 69.40007
68.03748 65.70967 62.54109 60.25879 57.49287
53.66283 51.05876 47.53617 42.24093 36.40626
31.17464 24.83304 16.89373 10.77945 7.719096
6.765337 7.157845 8.980104 11.27603 13.21683
13.55288 14.38832 15.70601 15.17413 14.85129
15.75761 18.17521 22.10132 26.99573 31.844
34.64617 33.82771 31.16426 29.3852 28.79607
27.44863 25.74589 24.15265 22.54923 22.58138
24.12141 25.25332 27.2024 30.35825 32.38986
33.46668 35.72922 38.99067 44.20689 49.54657
53.54119 57.28716 60.36342 61.67731 61.49036
61.10121 60.78649 60.41124 59.6786 59.01396
57.37353 54.45806 50.63994 46.29371 43.97649
42.45312
