runs.scored,wins,games.behind,attendance
779,109,0,1062069
743,87,22,1833246
573,62,46.5,619970
701,90,19,1577481
562,80,28.5,1067996
694,86,23,918106
528,71,26,758388
625,68,29,589546
586,69,28,902414
790,97,0,1349328
740,88,9,778232
639,64,33,677944
720,92,8,1674993
582,52,48,1212608
632,100,0,2175373
645,63,37,519414
725,88,12,769369
595,87,13,1682783
691,93,0,1458320
798,89,4,987991
676,81,12,1442995
645,85,8,1784527
468,52,41,512970
713,90,3,873603
792,108,0,1057069
786,87,21,1595278
649,76,32,729752
666,79,29,1501293
613,65,33,933690
680,93,15,1136879
626,70,38,824789
631,86,12,1077741
633,56,42,495355
611,65,33,693047
744,98,0,1261887
678,89,9,778355
806,84,5,1642705
687,73,16,1424683
695,83,6,2697479
594,73,15.5,708247
729,89,0,1341947
744,76,13,1629736
736,76,26,1078848
775,102,0,1803568
744,79,23,1253444
749,87,14.5,1697142
681,63,39,643679
831,86,16,740720
742,101,0,1023037
691,85,18,1678732
543,60,43,591361
701,91,12,1591073
534,69,32,731531
648,82,21,1070771
537,63,38.5,655156
511,76,25.5,926373
617,79,22.5,833891
603,85,16,910784
654,74,26.5,940858
691,101,0,914993
637,83,14,1653007
622,71,25.5,1290963
588,83,14,2266680
558,67,30,1511223
788,97,0,1501132
739,90,7,1604671
643,82,8,1006320
586,79,11,1501122
585,79,11,1261589
663,89,1,2064594
486,61,28.5,557513
706,90,0,1106043
519,80,5,899950
640,85,0.5,1441718
472,72,14,626354
558,86,0,1892386
493,65,21,600440
557,79,6.5,966328
454,75,18,744190
566,87,5.5,1177318
580,76,16.5,707656
537,77,15.5,797901
604,93,0,921323
461,54,38.5,662974
685,85,11,1299163
513,70,26.5,1142145
528,83,13.5,2134185
503,59,37.5,1343329
691,96,0,1427460
568,75,21.5,1196894
628,70,25,752973
707,95,0,1611459
708,84,10.5,1469247
584,85,10.5,1860858
488,58,36.5,644273
662,69,26.5,647744
754,97,0,958667
738,89,8,1481002
680,71,26,615107
642,85,12,1724146
708,74,23,1092158
641,80,17,1262103
