ID  G8    G9    G10   G11
1   1.75  2.60  3.76  3.68
2   0.90  2.47  2.44  3.43
3   0.80  0.93  0.40  2.27
4   2.42  4.15  4.56  4.21
5  −1.31 −1.31 −0.66 −2.22
6  −1.56  1.67  0.18  2.33
7   1.09  1.50  0.52  2.33
8  −1.92  1.03  0.50  3.04
9  −1.61  0.29  0.73  3.243
10  2.47  3.64  2.87  5.38
11 −0.95  0.41  0.21  1.82
12  1.66  2.74  2.40  2.17
13  2.07  4.92  4.46  4.71
14  3.30  6.10  7.19  7.46
15  2.75  2.53  4.28  5.93
16  2.25  3.38  5.79  4.40
17  2.08  1.74  4.12  3.62
18  0.14  0.01  1.48  2.78
19  0.13  3.19  0.60  3.14
20  2.19  2.65  3.27  2.736
21 −0.64 −1.31 −0.37  4.09
22  2.02  3.45  5.32  6.01
23  2.05  1.80  3.91  2.49
24  1.48  0.47  3.63  3.88
25  1.97  2.54  3.26  5.62
26  1.35  4.63  3.54  5.24
27 −0.56 −0.36  1.14  1.34
28  0.26  0.08  1.17  2.15
29  1.22  1.41  4.66  2.62
30 −1.43  0.80 −0.03  1.04
31 −1.17  1.66  2.11  1.42
32  1.68  1.71  4.07  3.30
33 −0.47  0.93  1.30  0.76
34  2.18  6.42  4.64  4.82
35  4.21  7.08  6.00  5.65
36  8.26  9.55 10.24 10.58
